,Unnamed: 0,Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
859,890,Halcyon smyrnensis,White-throated Kingfisher,"Tasgaon, Sangli, Maharashtra, IN",17.03243436,74.61158902,24/03/2020,https://static.inaturalist.org/photos/64402087/medium.jpg?1585045797
860,891,Halcyon smyrnensis,White-throated Kingfisher,"Dombivli, Maharashtra 421203, India",19.91381567,74.77111816,04/04/2020,https://static.inaturalist.org/photos/65616898/medium.jpg?1586012957
861,892,Alcedo atthis,Common Kingfisher,"O-1, Eastern Express Hwy, Jaihind Colony, Tata Colony, Mulund East, Mumbai, Maharashtra 400081, India",19.1505534,72.95648929999999,04/05/2020,https://static.inaturalist.org/photos/65720082/medium.jpg?1586073728
862,893,Alcedo atthis,Common Kingfisher,"Srivardhan Beach, Maharashtra",18.041466399999997,73.0106406,04/07/2020,https://static.inaturalist.org/photos/66017296/medium.jpg?1586275905
863,894,Alcedo atthis,Common Kingfisher,"Shrivardhan, Maharashtra 402110, India",18.0594018,73.0228173,04/07/2020,https://static.inaturalist.org/photos/66017846/medium.jpg?1586276206
864,895,Alcedo atthis,Common Kingfisher,"Shrivardhan, Maharashtra 402110, India",18.0594018,73.0228173,04/07/2020,https://static.inaturalist.org/photos/66018220/medium.jpg?1586276383
865,896,Halcyon pileata,Black-capped Kingfisher,"Shrivardhan, Maharashtra 402110, India",18.0594018,73.0228173,04/07/2020,https://static.inaturalist.org/photos/66018252/medium.jpg?1586276399
866,897,Alcedo atthis,Common Kingfisher,"Shrivardhan, Maharashtra 402110, India",18.0594018,73.0228173,04/07/2020,https://static.inaturalist.org/photos/66018274/medium.jpg?1586276411
867,898,Halcyon smyrnensis,White-throated Kingfisher,"Aatekar Vasti, Maharashtra 411025, India",18.3802793,73.767643,04/10/2020,https://static.inaturalist.org/photos/66342498/medium.jpg?1586509162
868,902,Halcyon smyrnensis,White-throated Kingfisher,"Bhuigaon, Nalasopara West, Nala Sopara, Maharashtra 401201, India",19.3824677,72.7717775,19/04/2020,https://static.inaturalist.org/photos/67622878/medium.jpeg?1587316824
869,903,Ceryle rudis,Pied Kingfisher,"Dombivli West, Dombivli, Maharashtra, India",19.2188997,73.0807259,20/04/2020,https://static.inaturalist.org/photos/67761953/medium.jpg?1587394444
870,904,Halcyon smyrnensis,White-throated Kingfisher,"13, Tikuji Ni Wadi Rd, Hill Garden, Kokanipada, Thane West, Thane, Maharashtra 400607, India",19.238258899999998,72.9635897,21/04/2020,https://static.inaturalist.org/photos/67894860/medium.jpg?1587476497
871,905,Halcyon smyrnensis,White-throated Kingfisher,"Kutwalwadi, Maharashtra 412204, India",18.3515415,74.3675446,21/04/2020,https://static.inaturalist.org/photos/67898978/medium.jpeg?1587478921
872,906,Halcyon smyrnensis,White-throated Kingfisher,"Durga Devi temple, Guhagar",17.49489139,73.18810668,24/04/2020,https://static.inaturalist.org/photos/68307594/medium.jpeg?1587695386
873,907,Halcyon smyrnensis,White-throated Kingfisher,"13, Tikuji Ni Wadi Rd, Hill Garden, Kokanipada, Thane West, Thane, Maharashtra 400607, India",19.238258899999998,72.9635897,26/04/2020,https://static.inaturalist.org/photos/69173528/medium.jpg?1587906110
874,908,Alcedo atthis,Common Kingfisher,"Sector 58, Seawoods, Navi Mumbai, Maharashtra 400706, India",19.006780399999997,73.01469959999999,28/04/2020,https://static.inaturalist.org/photos/69956118/medium.jpg?1588082177
875,909,Alcedo atthis,Common Kingfisher,"Uran, Navi Mumbai, Maharashtra, India",18.8772346,72.92833909999999,05/01/2020,https://static.inaturalist.org/photos/70480193/medium.jpg?1588317063
876,910,Alcedo atthis,Common Kingfisher,"Mamachi wadi Rd, Agashi, Virar West, Virar, Maharashtra 401303, India",19.4741736,72.7544129,05/02/2020,https://static.inaturalist.org/photos/70646718/medium.jpg?1588396233
877,911,Ceryle rudis,Pied Kingfisher,"Ramtek, Maharashtra 441106, India",21.392861800000002,79.3268397,05/03/2020,https://static.inaturalist.org/photos/70877189/medium.jpg?1588498967
878,912,Halcyon smyrnensis,White-throated Kingfisher,"Gorhe Khurd, Panshet Road, Pune, Maharashtra 411025, India",18.405640100000003,73.7501165,05/04/2020,https://static.inaturalist.org/photos/71118394/medium.jpeg?1588588399
879,913,Alcedo atthis,Common Kingfisher,"O-1, Eastern Express Hwy, Jaihind Colony, Tata Colony, Mulund East, Mumbai, Maharashtra 400081, India",19.1505534,72.95648929999999,05/04/2020,https://static.inaturalist.org/photos/71137108/medium.jpg?1588600349
880,914,Alcedo atthis,Common Kingfisher,Bird Valley Udyan,18.65702869,73.80017806,21/05/2020,https://static.inaturalist.org/photos/74039450/medium.jpg?1590029928
881,915,Alcedo atthis,Common Kingfisher,"Pune, Maharashtra, India",18.50595689,73.99659564,06/08/2020,https://static.inaturalist.org/photos/77634220/medium.jpg?1591628695
882,916,Halcyon smyrnensis,White-throated Kingfisher,"Sangameshwar, Ratnagiri, Maharashtra, IN",17.17150708,73.53051511,17/06/2020,https://static.inaturalist.org/photos/79324756/medium.jpg?1592413729
883,917,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Manche, Maharashtra, India",16.52278155,73.5315318,19/06/2020,https://static.inaturalist.org/photos/79637266/medium.jpeg?1592576608
884,918,Halcyon smyrnensis,White-throated Kingfisher,"Behram Baug Road, Mumbai, Maharashtra, IN",19.14443366,72.84069849,20/06/2020,https://static.inaturalist.org/photos/79767871/medium.jpg?1592632016
885,919,Halcyon smyrnensis,White-throated Kingfisher,"Jalgaon, IN-MH, IN",21.05747333,75.84092,26/06/2020,https://static.inaturalist.org/photos/80949487/medium.jpeg?1593150184
886,920,Ceryle rudis,Pied Kingfisher,"Sudgaon, Maharashtra, India",21.05695167,75.84209167,26/06/2020,https://static.inaturalist.org/photos/80951345/medium.jpeg?1593151991
887,921,Halcyon smyrnensis,White-throated Kingfisher,"Gokhalenagar, Pune, Maharashtra, India",18.53007079,73.81818453,28/06/2020,https://static.inaturalist.org/photos/81364259/medium.jpeg?1593350287
