,Unnamed: 0,Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
80,81,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,29/07/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
81,82,Anas poecilorhyncha,Indian Spot-billed Duck,"Riverside road, Anandnagar, Pune",18.4795,73.8149,22/07/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
82,83,Anas poecilorhyncha,Indian Spot-billed Duck,"Salim Ali Lake, Aurangabad",19.8987,75.3436,10/05/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
83,84,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,19/04/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
84,85,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,27/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
85,86,Anas poecilorhyncha,Indian Spot-billed Duck,Pachu Bandar,19.3297,72.8659,25/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
86,87,Anas poecilorhyncha,Indian Spot-billed Duck,"Paradise Lake Resort, Harkul Dam",16.3295,73.8014,03/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
87,88,Anas poecilorhyncha,Indian Spot-billed Duck,"Paradise Lake Resort, Harkul Dam",16.3295,73.8014,03/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
88,89,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,24/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
89,90,Anas poecilorhyncha,Indian Spot-billed Duck,"Rankala Lake, Kolhapur",16.6884,74.2124,17/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
90,91,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,17/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
91,92,Anas poecilorhyncha,Indian Spot-billed Duck,"Chhatri Lake--Backwaters, Amravati",20.8955,77.7764,12/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
92,93,Anas poecilorhyncha,Indian Spot-billed Duck,"Bhandup Pumping Station, Mumbai",19.1411,72.961,23/10/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
93,94,Anas poecilorhyncha,Indian Spot-billed Duck,"Powai Lake, Mumbai",19.1208,72.9024,20/12/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
94,95,Anas poecilorhyncha,Indian Spot-billed Duck,RCF PLANT,19.0305,72.8854,01/09/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
95,96,Anas poecilorhyncha,Indian Spot-billed Duck,RCF PLANT,19.0305,72.8854,01/09/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
96,97,Anas poecilorhyncha,Indian Spot-billed Duck,Kavdi Pat,18.5054,74.0006,13/05/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
97,98,Anas poecilorhyncha,Indian Spot-billed Duck,Veer Dam,18.1184,74.0842,26/03/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
98,99,Anas poecilorhyncha,Indian Spot-billed Duck,Pimprisekam-River Bhogawati,21.0483,75.8638,02/03/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
99,100,Anas poecilorhyncha,Indian Spot-billed Duck,Popatkhed reservoir,21.2115,77.0844,22/01/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
100,101,Anas poecilorhyncha,Indian Spot-billed Duck,"Bahula Dam, Jalgaon",20.6936,75.3966,08/01/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
101,102,Anas poecilorhyncha,Indian Spot-billed Duck,Inside the gate  of pashan lake,18.5363,73.7834,04/10/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
102,103,Anas poecilorhyncha,Indian Spot-billed Duck,"Mehrun Lake, Tambapura, Jalgaon, Maharashtra",20.9804,75.5651,14/08/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
103,104,Anas poecilorhyncha,Indian Spot-billed Duck,"Panje, Uran",18.908,72.9492,13/02/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
104,105,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,29/07/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
105,106,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,29/07/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
106,107,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,29/07/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
107,108,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,29/07/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
108,109,Anas poecilorhyncha,Indian Spot-billed Duck,Seawoods--Navi Mumbai,19.0101,73.0094,21/10/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
109,110,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake--Backwaters, Nagpur",21.1389,79.0236,12/07/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
110,111,Anas poecilorhyncha,Indian Spot-billed Duck,"Nakane Lake, Dhule",20.886,74.7273,18/02/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
111,112,Anas poecilorhyncha,Indian Spot-billed Duck,"Bahula Dam, Jalgaon",20.6936,75.3966,18/01/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
112,113,Anas poecilorhyncha,Indian Spot-billed Duck,"Mehrun Lake, Tambapura, Jalgaon, Maharashtra",20.9804,75.5651,23/12/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
113,114,Anas poecilorhyncha,Indian Spot-billed Duck,"Moharli, Maharashtra, IN (20.19, 79.33)",20.19,79.3299,04/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
114,115,Anas poecilorhyncha,Indian Spot-billed Duck,"Mehrun Lake, Tambapura, Jalgaon, Maharashtra",20.9804,75.5651,03/12/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
115,116,Anas poecilorhyncha,Indian Spot-billed Duck,"Pashan Lake, Pune",18.5318,73.7854,27/11/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
116,117,Anas poecilorhyncha,Indian Spot-billed Duck,Lokhandwala Lake,19.1447,72.8177,05/01/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
117,118,Anas poecilorhyncha,Indian Spot-billed Duck,Lokhandwala Lake--Mangroves,19.1438,72.8183,10/12/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
118,119,Anas poecilorhyncha,Indian Spot-billed Duck,Lokhandwala Lake--Mangroves,19.1438,72.8183,10/12/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
119,120,Anas poecilorhyncha,Indian Spot-billed Duck,Lokhandwala Lake--Mangroves,19.1438,72.8183,13/11/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
120,121,Anas poecilorhyncha,Indian Spot-billed Duck,"Bhandup Pumping Station, Mumbai",19.1411,72.961,11/08/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
121,122,Anas poecilorhyncha,Indian Spot-billed Duck,Bhusawal Thermal Power Station (BTPS)--Sewage Treatment Plant,21.0405,75.8396,01/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
122,123,Anas poecilorhyncha,Indian Spot-billed Duck,"Great Indian Bustard Sanctuary, Nannaj",17.8248,75.8678,30/06/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
123,124,Anas poecilorhyncha,Indian Spot-billed Duck,"JugaDevi Side Tapti River_Maharashtra, IN (21.064, 75.762)",21.0642,75.7618,21/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
124,125,Anas poecilorhyncha,Indian Spot-billed Duck,"JugaDevi Side Tapti River_Maharashtra, IN (21.064, 75.762)",21.0642,75.7618,21/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
125,126,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,17/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
126,127,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,17/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
127,128,Anas poecilorhyncha,Indian Spot-billed Duck,"Tapti BTPS RESERVOIR (21.06, 75.852)",21.0596,75.8519,12/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
128,129,Anas poecilorhyncha,Indian Spot-billed Duck,"Tapti BTPS RESERVOIR (21.06, 75.852)",21.0596,75.8519,12/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
129,130,Anas poecilorhyncha,Indian Spot-billed Duck,"Tapti BTPS RESERVOIR (21.06, 75.852)",21.0596,75.8519,12/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
130,131,Anas poecilorhyncha,Indian Spot-billed Duck,"Tapti BTPS RESERVOIR (21.06, 75.852)",21.0596,75.8519,12/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
131,132,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,12/04/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
132,133,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,12/04/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
133,134,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,12/04/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
134,135,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,12/04/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
135,136,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,12/04/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
136,137,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,12/04/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
137,138,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,12/04/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
138,139,Anas poecilorhyncha,Indian Spot-billed Duck,Ajanta-andhari dam,20.5087,75.7633,29/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
139,140,Anas poecilorhyncha,Indian Spot-billed Duck,"Bhandup Pumping Station, Mumbai",19.1411,72.961,20/01/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
140,141,Anas poecilorhyncha,Indian Spot-billed Duck,Kapurwadi lake,19.1168,74.7798,10/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
141,142,Anas poecilorhyncha,Indian Spot-billed Duck,Khadakwasla Dam,18.4295,73.758,17/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
142,143,Anas poecilorhyncha,Indian Spot-billed Duck,"Gorewada Lake, Nagpur",21.1973,79.0381,23/11/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
143,144,Anas poecilorhyncha,Indian Spot-billed Duck,Inside the gate  of pashan lake,18.5363,73.7834,04/10/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
144,145,Anas poecilorhyncha,Indian Spot-billed Duck,"Pat Talav (Lake), Malvan",15.9652,73.5728,21/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
145,146,Anas poecilorhyncha,Indian Spot-billed Duck,Tapti River--behind BTPS,21.0602,75.8353,12/04/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
146,147,Anas poecilorhyncha,Indian Spot-billed Duck,"Gorewada Lake, Nagpur",21.1973,79.0381,10/04/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
